"","X","datetimeAK","DO.obs","ODO.Psat","localDissolvedOxygenSat","temp.water","discharge","depth","turbidity","fDOM","solar.time","DO.sat.EXO","light"
"9224",10468,2019-08-23 16:45:00,12.2046666666667,93.7586666666667,NA,4.09883333333333,566.836666666667,0.37,0.505333333333333,NA,2019-08-23 14:56:40,13.0171077518167,1123.01280168702
"9225",10469,2019-08-23 17:00:00,12.1986666666667,93.7533333333333,NA,4.11,565.6,0.369333333333333,0.514,NA,2019-08-23 15:11:40,13.0114484818318,1078.37909008718
"9226",10470,2019-08-23 17:15:00,12.1956666666667,93.7543333333333,NA,4.12416666666667,575.684666666667,0.372666666666667,0.480666666666667,NA,2019-08-23 15:26:40,13.0081098473671,1030.96690741071
"9227",10471,2019-08-23 17:30:00,12.1856666666667,93.7193333333333,NA,4.13883333333333,570.078666666667,0.368666666666667,0.424,NA,2019-08-23 15:41:40,13.0022976404726,980.979355518836
"9228",10472,2019-08-23 17:45:00,12.1756666666667,93.699,NA,4.15916666666667,567.380666666667,0.37,0.465666666666667,NA,2019-08-23 15:56:40,12.9944467568135,928.630568593888
"9229",10473,2019-08-23 18:00:00,12.173,93.6833333333333,NA,4.17066666666667,569.162,0.37,0.521333333333333,NA,2019-08-23 16:11:40,12.9937733499377,874.144795843285
"9230",10474,2019-08-23 18:15:00,12.1673333333333,93.684,NA,4.1845,568.834,0.370666666666667,0.434,NA,2019-08-23 16:26:40,12.987632181945,817.755440875007
"9231",10475,2019-08-23 18:30:00,12.1656666666667,93.7146666666667,NA,4.19933333333333,570.590666666667,0.370666666666667,0.413666666666667,NA,2019-08-23 16:41:40,12.9816037333182,759.704061870677
"9232",10476,2019-08-23 18:45:00,12.1616666666667,93.7016666666667,NA,4.2035,569.165333333333,0.370666666666667,0.414,NA,2019-08-23 16:56:40,12.9791359100692,700.239336782047
"9233",10477,2019-08-23 19:00:00,12.1591666666667,NA,NA,4.20533333333333,571.201333333333,0.371333333333333,NA,NA,2019-08-23 17:11:40,12.9814793218427,639.615998037834
"9234",10478,2019-08-23 19:15:00,12.1566666666667,93.6293333333333,NA,4.19016666666667,561.686,0.368,0.452333333333333,NA,2019-08-23 17:26:40,12.9838227336162,578.093741446648
"9235",10479,2019-08-23 19:30:00,12.1606666666667,93.6,NA,4.1665,562.630666666667,0.368,0.394333333333333,NA,2019-08-23 17:41:40,12.9921652421652,515.936113562334
"9236",10480,2019-08-23 19:45:00,12.162,93.5463333333333,NA,4.1395,562.76,0.367333333333333,0.404333333333333,NA,2019-08-23 17:56:40,13.0010440459095,453.409382844637
"9237",10481,2019-08-23 20:00:00,12.162,93.4963333333333,NA,4.11716666666667,568.784,0.369333333333333,0.518333333333333,NA,2019-08-23 18:11:40,13.0079967485356,390.781398946523
"9238",10482,2019-08-23 20:15:00,12.166,93.4463333333333,NA,4.08866666666667,566.814,0.370666666666667,0.422666666666667,NA,2019-08-23 18:26:40,13.0192374232626,328.3204453932
"9239",10483,2019-08-23 20:30:00,12.1753333333333,93.4306666666667,NA,4.0515,568.869333333333,0.37,0.417666666666667,NA,2019-08-23 18:41:40,13.0314101008948,266.294090203098
"9240",10484,2019-08-23 20:45:00,12.1833333333333,93.3983333333333,NA,4.0095,573.348666666667,0.372,0.558333333333333,NA,2019-08-23 18:56:40,13.0444868752119,204.968039820108
"9241",10485,2019-08-23 21:00:00,12.1923333333333,93.3463333333333,NA,3.967,574.929333333333,0.372,0.561666666666667,NA,2019-08-23 19:11:40,13.0613950199794,144.605000759214
"9242",10486,2019-08-23 21:15:00,12.1983333333333,93.287,NA,3.92283333333333,568.926666666667,0.370666666666667,0.541,NA,2019-08-23 19:26:40,13.0761342237754,85.4635543593778
"9243",10487,2019-08-23 21:30:00,12.205,93.2186666666667,NA,3.87766666666667,568.267333333333,0.37,0.549,NA,2019-08-23 19:41:40,13.0928712418114,27.7970489697811
"9244",10488,2019-08-23 21:45:00,12.2116666666667,93.156,NA,3.8305,565.004666666667,0.369333333333333,0.557,NA,2019-08-23 19:56:40,13.1088353586099,0
"9245",10489,2019-08-23 22:00:00,12.2196666666667,93.108,NA,3.78483333333333,564.434,0.369333333333333,0.587,NA,2019-08-23 20:11:40,13.1241855336455,0
"9246",10490,2019-08-23 22:15:00,12.228,93.0663333333333,NA,3.739,560.418,0.368666666666667,0.601666666666667,NA,2019-08-23 20:26:40,13.1390155408866,0
"9247",10491,2019-08-23 22:30:00,12.2416666666667,93.046,NA,3.687,560.693333333333,0.368,0.615666666666667,NA,2019-08-23 20:41:40,13.1565748841075,0
"9248",10492,2019-08-23 22:45:00,12.2526666666667,93.0053333333333,NA,3.63916666666667,553.484666666667,0.364,0.526,NA,2019-08-23 20:56:40,13.1741548871749,0
"9249",10493,2019-08-23 23:00:00,12.2706666666667,93.0126666666667,NA,3.589,559.018,0.366666666666667,0.526333333333333,NA,2019-08-23 21:11:40,13.1924684093206,0
"9250",10494,2019-08-23 23:15:00,12.288,93.0113333333333,NA,3.53583333333333,564.784666666667,0.368,0.522,NA,2019-08-23 21:26:40,13.2112932474179,0
