"","new","X","datetimeAK","temp.water","ODO.Psat","ODO.Ploc","DO.obs","discharge","Site","depth","light","DO.sat.EXO","solar.time","ODO.mgL.Calc"
"11971",5616,42584,2021-07-30 23:50:00,7.49724242424242,94.423315603541,NA,11.0797926155627,547.229938700504,"POKE",0.399480973373048,0.361717955469383,11.7342763340182,2021-07-30 22:03:57,NA
"11972",5616,42585,2021-07-30 23:55:00,7.47548484848485,94.4105074177017,NA,11.0840948537317,546.268720776628,"POKE",0.399382637605094,0.478126397476817,11.7405973349598,2021-07-30 22:08:57,NA
"11973",5617,42586,2021-07-31 00:00:00,7.45372727272727,94.4,94.7,11.0890909090909,544.362305737741,"POKE",0.39928270023407,0.49,11.7469183359014,2021-07-30 22:13:57,11.3324535158398
"11974",5618,42587,2021-07-31 00:05:00,7.43251515151515,94.3652170706062,NA,11.0914498853698,546.276731181075,"POKE",0.399187439777355,0.820168260565247,11.7539627814714,2021-07-30 22:18:57,NA
"11975",5618,42588,2021-07-31 00:10:00,7.41130303030303,94.3327257090673,NA,11.0944925830349,544.362305737741,"POKE",0.39909057771757,1.04580168164624,11.7610072270415,2021-07-30 22:23:57,NA
"11976",5619,42589,2021-07-31 00:15:00,7.39009090909091,94.3,94.6,11.0972727272727,542.447880294465,"POKE",0.399152103791499,1.05,11.7680516726116,2021-07-30 22:28:57,11.3382662574326
"11977",5620,42590,2021-07-31 00:20:00,7.36666666666667,94.2816685767844,NA,11.1012126097049,545.31551325717,"POKE",0.39875111343871,1.72843870221826,11.7745018931844,2021-07-30 22:33:57,NA
"11978",5620,42591,2021-07-31 00:25:00,7.34324242424242,94.2632000755729,NA,11.1049813446864,546.268720776628,"POKE",0.398508511219635,2.18544230170928,11.7809521137572,2021-07-30 22:38:57,NA
"11979",5621,42592,2021-07-31 00:30:00,7.31981818181818,94.2454545454545,94.5,11.1090909090909,545.31551325717,"POKE",0.398765711181411,2.31,11.7874023343301,2021-07-30 22:43:57,11.3514288206074
"11980",5622,42593,2021-07-31 00:35:00,7.29387878787879,94.2293310134612,NA,11.1126544678853,545.31551325717,"POKE",0.397563415956693,3.44681117246357,11.7931585272038,2021-07-30 22:48:57,NA
"11981",5622,42594,2021-07-31 00:40:00,7.26793939393939,94.2138901103103,NA,11.1166265213799,540.533454851131,"POKE",0.396860922912826,4.25117644372684,11.7989147200775,2021-07-30 22:53:57,NA
"11982",5623,42595,2021-07-31 00:45:00,7.242,94.2,94.5,11.12,537.673832292872,"POKE",0.395804087399829,4.445,11.8046709129512,2021-07-30 22:58:57,11.3678515922666
"11983",5624,42596,2021-07-31 00:50:00,7.216,94.1746987410029,NA,11.1266811286318,533.844981406262,"POKE",0.395781983522425,6.49784173004161,11.8147938080417,2021-07-30 23:03:57,NA
"11984",5624,42597,2021-07-31 00:55:00,7.19,94.1510151526667,NA,11.1326735368131,537.665821888455,"POKE",0.395405537175892,7.94014174509312,11.8249167031323,2021-07-30 23:08:57,NA
"11985",5625,42598,2021-07-31 01:00:00,7.164,94.1272727272727,94.4,11.14,535.759406849596,"POKE",0.394643830226051,8.4,11.8350395982229,2021-07-30 23:13:57,11.3810805434541
