Site Name ,FRCH,,,
Site Number ,3,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,11615,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
455,16/06/2020 , 06:45:00,2790,2790
456,16/06/2020 , 07:00:00,3410,3410
457,16/06/2020 , 07:15:00,3203,3203
458,16/06/2020 , 07:30:00,3824,3824
459,16/06/2020 , 07:45:00,3469,3469
460,16/06/2020 , 08:00:00,3973,3973
461,16/06/2020 , 08:15:00,4359,4359
462,16/06/2020 , 08:30:00,3864,3864
463,16/06/2020 , 08:45:00,6778,6778
464,16/06/2020 , 09:00:00,7277,7277
465,16/06/2020 , 09:15:00,3993,3993
466,16/06/2020 , 09:30:00,8394,8394
467,16/06/2020 , 09:45:00,4887,4887
468,16/06/2020 , 10:00:00,15370,15370
469,16/06/2020 , 10:15:00,6987,6987
470,16/06/2020 , 10:30:00,6868,6868
471,16/06/2020 , 10:45:00,5039,5039
472,16/06/2020 , 11:00:00,27429,27429
473,16/06/2020 , 11:15:00,17308,17308
474,16/06/2020 , 11:30:00,19693,19693
475,16/06/2020 , 11:45:00,24861,24861
476,16/06/2020 , 12:00:00,29483,29483
477,16/06/2020 , 12:15:00,12085,12085
478,16/06/2020 , 12:30:00,13933,13933
479,16/06/2020 , 12:45:00,8657,8657
480,16/06/2020 , 13:00:00,22673,22673
481,16/06/2020 , 13:15:00,36296,36296
482,16/06/2020 , 13:30:00,38854,38854
483,16/06/2020 , 13:45:00,26382,26382
484,16/06/2020 , 14:00:00,24158,24158
485,16/06/2020 , 14:15:00,40857,40857
486,16/06/2020 , 14:30:00,33572,33572
487,16/06/2020 , 14:45:00,23086,23086
488,16/06/2020 , 15:00:00,43847,43847
489,16/06/2020 , 15:15:00,33106,33106
490,16/06/2020 , 15:30:00,19078,19078
491,16/06/2020 , 15:45:00,12858,12858
492,16/06/2020 , 16:00:00,28054,28054
493,16/06/2020 , 16:15:00,43970,43970
494,16/06/2020 , 16:30:00,44012,44012
495,16/06/2020 , 16:45:00,26258,26258
496,16/06/2020 , 17:00:00,21108,21108
497,16/06/2020 , 17:15:00,36029,36029
498,16/06/2020 , 17:30:00,36719,36719
499,16/06/2020 , 17:45:00,46850,46850
500,16/06/2020 , 18:00:00,22521,22521
501,16/06/2020 , 18:15:00,40841,40841
502,16/06/2020 , 18:30:00,19712,19712
503,16/06/2020 , 18:45:00,37455,37455
504,16/06/2020 , 19:00:00,29974,29974
505,16/06/2020 , 19:15:00,27505,27505
506,16/06/2020 , 19:30:00,22916,22916
507,16/06/2020 , 19:45:00,6905,6905
508,16/06/2020 , 20:00:00,7430,7430
509,16/06/2020 , 20:15:00,19464,19464
510,16/06/2020 , 20:30:00,12493,12493
511,16/06/2020 , 20:45:00,8415,8415
512,16/06/2020 , 21:00:00,3781,3781
513,16/06/2020 , 21:15:00,2901,2901
514,16/06/2020 , 21:30:00,2373,2373
515,16/06/2020 , 21:45:00,2160,2160
516,16/06/2020 , 22:00:00,1946,1946
517,16/06/2020 , 22:15:00,1732,1732
518,16/06/2020 , 22:30:00,1538,1538
519,16/06/2020 , 22:45:00,1346,1346
520,16/06/2020 , 23:00:00,1168,1168
521,16/06/2020 , 23:15:00,1020,1020
522,16/06/2020 , 23:30:00,803,803
523,16/06/2020 , 23:45:00,643,643
524,16/06/2020 , 24:00:00,501,501
525,17/06/2020 , 00:15:00,378,378
526,17/06/2020 , 00:30:00,272,272
527,17/06/2020 , 00:45:00,208,208
528,17/06/2020 , 01:00:00,164,164
529,17/06/2020 , 01:15:00,136,136
530,17/06/2020 , 01:30:00,118,118
531,17/06/2020 , 01:45:00,108,108
532,17/06/2020 , 02:00:00,105,105
533,17/06/2020 , 02:15:00,108,108
534,17/06/2020 , 02:30:00,119,119
535,17/06/2020 , 02:45:00,140,140
536,17/06/2020 , 03:00:00,173,173
537,17/06/2020 , 03:15:00,251,251
538,17/06/2020 , 03:30:00,334,334
539,17/06/2020 , 03:45:00,435,435
540,17/06/2020 , 04:00:00,650,650
541,17/06/2020 , 04:15:00,800,800
542,17/06/2020 , 04:30:00,796,796
543,17/06/2020 , 04:45:00,1248,1248
544,17/06/2020 , 05:00:00,1592,1592
545,17/06/2020 , 05:15:00,1821,1821
546,17/06/2020 , 05:30:00,2325,2325
547,17/06/2020 , 05:45:00,3860,3860
548,17/06/2020 , 06:00:00,5657,5657
549,17/06/2020 , 06:15:00,8115,8115
550,17/06/2020 , 06:30:00,6863,6863
551,17/06/2020 , 06:45:00,7061,7061
552,17/06/2020 , 07:00:00,3813,3813
